gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
SOWAHB	2.815189433	4.675975458	5.515784925	4.79E-05	0.01532953	2.219450304
PLA2G2F	2.81313327	5.454801853	4.381849227	0.000469689	0.047423774	0.077290198
ZWINT	2.808899787	3.303613111	5.852290922	2.50E-05	0.011080513	2.810846026
C11ORF98	2.80415332	0.769645353	3.738028091	0.001806434	0.09121698	-1.099251497
TNNC1	2.801832232	1.880916654	1.960912036	0.067627006	0.477806695	-4.340144783
HIST1H1B	2.794582936	4.765423706	3.80007059	0.001585229	0.084636824	-1.069039219
KRT23	2.791129131	3.461923539	2.228098634	0.04064864	0.387652709	-4.029567702
TUBB4BP7	2.784840138	-1.025835901	3.298727468	0.004557123	0.142614476	-1.904223251
RP11-343C2.11	2.78231387	2.798697026	2.898232375	0.01052157	0.207127985	-2.776697498
HMGA1	2.773900425	5.801593364	5.059767397	0.000117832	0.02504806	1.376943295
SPDYE6	2.770441692	0.056055232	2.448090229	0.026339523	0.31828551	-3.37607117
UGT1A4	2.769320608	0.348267625	2.620177998	0.018620255	0.272247283	-3.102115669
SPINT2	2.768489631	7.59106503	4.327167392	0.000526096	0.049565314	-0.013848073
COL10A1	2.768184992	4.099415186	2.952894498	0.009393606	0.196913674	-2.723578994
ITLN1	2.759340474	0.985906835	2.30290202	0.035119768	0.360486569	-3.69054981
IFI6	2.758438742	5.657257343	3.581590092	0.002511804	0.106531055	-1.496775111
KRTAP3-1	2.750867858	-0.512004341	3.623732526	0.002298317	0.101394584	-1.332389852
DNM1P31	2.742916918	-0.562813438	2.89403894	0.010613356	0.208039453	-2.601693105
RP4-614C10.1	2.742402077	-0.814589183	2.938095037	0.009686789	0.198901312	-2.524684004
RP11-326K13.2	2.735939851	-0.770263868	3.352233283	0.004072104	0.136300189	-1.809713599
PALM3	2.734399641	3.343139758	4.197988595	0.000688352	0.055506088	-0.27026727
RP11-402P6.15	2.733463569	1.74978631	2.748468397	0.01432874	0.240089139	-2.977334865
FAM228A	2.732828631	-0.379166059	2.368573358	0.030853371	0.340178689	-3.484946746
RP3-407E4.4	2.728280922	-0.397070984	2.687280728	0.016241131	0.25404425	-2.95647693
RAB4B-EGLN2	2.726659284	0.030159116	2.850141932	0.011622132	0.216815688	-2.689182623
LY6G6E	2.718296386	-1.062199263	3.240117406	0.005154248	0.149609064	-2.005490737
RP11-96A1.4	2.714161697	-0.675516774	3.00238694	0.008474726	0.188354509	-2.41490643
S100A14	2.711891399	3.565230827	2.743971569	0.014461553	0.24062448	-3.105164469
CTU1	2.709943527	3.572047879	5.104917408	0.000107653	0.023561988	1.462016713
TMEM147	2.7091043	2.96820795	4.492486991	0.000373662	0.042411935	0.30635701
DPPA5	2.703451186	-1.56450023	3.190650138	0.005717939	0.15757525	-2.089471652
HIST1H2AH	2.700989566	5.619149341	4.875019255	0.000170953	0.02924285	1.027813814
RP11-762I7.5	2.699269887	-1.554156735	3.130100583	0.006491198	0.168436542	-2.194438784
RP11-326A13.3	2.690595176	-1.5442399	3.35351931	0.004061099	0.136300189	-1.806609934
AC007326.9	2.689276663	-1.5442399	3.358505348	0.004018714	0.135513334	-1.797936004
TMEM265	2.688760057	3.228057528	4.959047383	0.000144266	0.027185239	1.189745638
EEF1DP1	2.685884327	-0.844840364	2.824761831	0.012247235	0.221885897	-2.717448247
RP11-184J23.2	2.681521752	-0.25185987	2.532531804	0.022233726	0.294659068	-3.220684696
E2F1	2.680118334	3.11531674	5.338095915	6.78E-05	0.018401455	1.88976523
C2ORF27AP3	2.66788743	-1.592491003	3.134708117	0.006428902	0.16743655	-2.186388748
TACSTD2	2.667035315	7.660380703	3.939338808	0.00118286	0.074298815	-0.768210186
UPK2	2.655706965	4.413892765	2.155802029	0.046750555	0.414045757	-4.179166832
SAPCD2P1	2.646384723	0.004139249	2.567280454	0.020727546	0.286166178	-3.173621079
FOXJ1	2.645362474	4.647420987	3.866060929	0.001379758	0.079835641	-0.938409106
NEURL2	2.640435406	0.781160446	2.494743272	0.023989738	0.30432796	-3.34777727
PPM1AP1	2.634188486	-1.590520097	3.365817171	0.00395735	0.134830838	-1.784659321
POM121L14P	2.633900243	-0.520035806	2.592416101	0.019699264	0.27911647	-3.112719932
HIST1H2BB	2.632609209	6.051761462	4.52557924	0.000349026	0.040860408	0.35930865
TMEM54	2.632336183	4.119698004	4.971200416	0.000140777	0.027071205	1.210037625
TMEM187	2.622650881	2.250937129	4.43177906	0.000423572	0.044957938	0.198807428
MRPL12	2.619236966	3.232530284	5.200795797	8.89E-05	0.021317949	1.639158036
IGKV1-6	2.616189623	-0.830692215	2.399713598	0.029005105	0.331521858	-3.42190583
FAM72D	2.616074255	0.285854292	2.506145278	0.023446468	0.300175596	-3.292802084
ESM1	2.607487014	0.211801303	2.883724284	0.010842449	0.210543408	-2.636692464
INHBC	2.603704098	-0.273011889	2.851933952	0.011579185	0.216580844	-2.678182359
MUC1	2.602593112	4.575063833	3.29019385	0.004639603	0.144216595	-2.07422458
SLC9A3P2	2.600440166	0.789678126	3.834453053	0.001474595	0.082310783	-0.921757145
HSFX2	2.597444743	-1.082675388	2.843627299	0.011779566	0.2179048	-2.684659338
RP11-432M8.16	2.594570912	-1.592491003	3.270932543	0.004831242	0.145756269	-1.94982234
BPGM	2.590483292	2.765119916	4.541459168	0.0003378	0.040078717	0.402575162
RP11-386M24.1	2.589364579	-1.117083867	3.109853483	0.006772058	0.171095241	-2.229969196
PDZK1IP1	2.584700282	2.306003892	3.089301957	0.007069354	0.174305809	-2.382682916
ANKRD30BL	2.582231081	11.56825893	3.719559827	0.001878088	0.093183097	-1.145606546
SDF2L1	2.580387715	3.41488303	4.086864959	0.000868217	0.062489673	-0.488934651
MEX3A	2.580226179	3.783676948	3.689350656	0.0020015	0.095828465	-1.27876864
MT-ATP8	2.576895092	8.034227312	4.771100962	0.000211104	0.03229025	0.837293274
TRIAP1	2.575700896	1.287823646	4.226797274	0.000648232	0.05452405	-0.18985735
RP11-640B6.1	2.572814333	-0.905268711	2.895676212	0.010577427	0.207876334	-2.596710628
RP11-294C11.5	2.571309029	-0.548026579	2.96472334	0.009165516	0.195496311	-2.480365798
COMTD1	2.57091413	3.912889786	4.357277823	0.000494232	0.048277386	0.032041723
RP5-827A12.2	2.569066846	-1.604668246	3.231595751	0.005247281	0.150665354	-2.018149469
DUPD1	2.567204585	-0.532428845	2.674119862	0.01668345	0.256497126	-2.975701469
CDC25A	2.564691887	2.891657993	5.207829585	8.77E-05	0.021225739	1.649403849
RP11-599B13.6	2.562670894	-0.89471613	1.963371011	0.067317903	0.477022613	-4.093100003
ALG1L8P	2.554418888	-1.610996221	3.125789233	0.006550026	0.169287359	-2.201817174
KRT7	2.55385383	8.223654954	4.208704399	0.000673142	0.054907853	-0.237569072
CTB-60B18.23	2.545025257	-0.31449672	2.440213255	0.026757166	0.320812864	-3.370739285
YBX1P1	2.542886907	-0.893091467	2.600362063	0.01938447	0.276576251	-3.093196784
CSAG3	2.536711886	-0.079569326	2.640422064	0.017869368	0.266927002	-3.045961654
LMNB2	2.536244333	5.993288822	5.62019043	3.91E-05	0.014050659	2.406380005
GPRIN2	2.534254513	3.133583182	3.758583526	0.001729905	0.088860656	-1.125351416
SCNN1A	2.532841087	5.890805815	4.584262755	0.00030934	0.037912483	0.471882575
CDS1	2.524258697	3.443121409	5.14977575	9.84E-05	0.022523528	1.545399416
OR10AE3P	2.522167762	-0.882532178	3.041679894	0.007808375	0.182098959	-2.34703695
AC006153.3	2.521921047	-1.645404701	3.034125224	0.007932375	0.183172365	-2.360482448
MIEN1	2.521771662	2.190763766	4.576734453	0.000314162	0.037912483	0.472282762
HIST1H3F	2.521292974	6.717857481	4.004596988	0.001031491	0.068569558	-0.651749387
POC1A	2.514952551	2.700248427	4.877935707	0.000169946	0.02924285	1.037875535
APOC1	2.504146026	2.546809291	3.564899233	0.002601743	0.108754719	-1.480270271
PNMT	2.50267751	1.219419658	3.070678599	0.007349806	0.177313329	-2.347471751
RP11-794C22.2	2.493798036	-1.645404701	3.067005431	0.007406396	0.177631962	-2.303630455
MANEAL	2.493142336	3.209365628	5.271488221	7.73E-05	0.020028754	1.768943559
TCF15	2.4919374	0.854043192	3.379000128	0.003849055	0.133104023	-1.762366514
MAGEA1	2.487325649	0.466260679	2.624613037	0.01845321	0.271680686	-3.101609132
RP11-259P6.3	2.486976478	-1.645404701	3.086592043	0.0071095	0.174825228	-2.269722339
SLC9A3R1	2.486741068	5.409423282	4.2469768	0.000621551	0.053587861	-0.186549416
RP11-81A1.3	2.48388901	-1.610996221	2.557186234	0.021154747	0.288855418	-3.169097669
MATN4	2.483086266	0.500964143	2.377327888	0.030322864	0.3380959	-3.524430454
AGRN	2.482374741	8.209366291	4.60105678	0.000298855	0.037212187	0.515647053
MAGEA9B	2.481880687	2.400214292	2.44194634	0.026664743	0.320031403	-3.584430988
RP11-456P18.2	2.480389076	-0.677182153	2.651115287	0.017484545	0.263716535	-3.01171472
RP11-400G3.5	2.480369998	-0.134171387	2.119502736	0.050123143	0.427247051	-3.892422882
RP11-456N14.6	2.477522545	-0.784196223	2.432843713	0.027153567	0.323571737	-3.369319633
RPL29P22	2.476515305	-1.652919349	3.144638694	0.006296631	0.16570626	-2.169056386
RP11-731D1.1	2.475287351	-1.671424568	3.16033649	0.00609299	0.162041331	-2.141750303
EMC6	2.470577337	2.392739513	4.160308578	0.000744661	0.057544655	-0.321561878
CDR2L	2.467014243	4.837535177	3.828380791	0.001493552	0.082473382	-1.013078142
GJA6P	2.464536335	-1.185026862	2.964902297	0.009162107	0.195496311	-2.478442337
CTC-534A2.2	2.463308218	-0.68359986	2.700027355	0.0158235	0.250737002	-2.929639218
DUX4L9	2.451348433	1.10502444	2.602190186	0.01931273	0.276576251	-3.18684562
CBLC	2.450058502	4.524245663	5.07375924	0.000114576	0.024655908	1.402571471
CTC-435M10.3	2.448157483	1.996354684	4.046351384	0.000945068	0.065555696	-0.531459606
CYB561	2.445554305	5.873127472	4.95922971	0.000144213	0.027185239	1.18783153
TMEM238	2.445194389	3.817241172	3.842709477	0.001449206	0.082310783	-0.976841915
STRA13	2.443932736	4.725389577	4.697276616	0.000245405	0.034180148	0.686905495
CDK1	2.44136889	0.951103751	3.178219174	0.005868903	0.158231377	-2.135794627
GGTLC5P	2.436066218	-0.939371664	2.472882395	0.025064927	0.31099926	-3.301911653
RP11-155G14.5	2.435258955	-1.676984334	2.787950615	0.013212138	0.231972755	-2.782955992
CGB1	2.434642752	-1.205502987	2.693455404	0.016037516	0.252515634	-2.937552364
HMGB3P4	2.433008291	-0.485627327	2.664049285	0.017029704	0.259107394	-2.99357834
PKMYT1	2.426866181	3.481418896	4.684563868	0.000251865	0.034555071	0.668478848
OR10H5	2.424022266	-0.929752414	2.951475883	0.00942133	0.197260141	-2.50149084
DCTPP1	2.423811892	3.055214074	4.898604008	0.000162987	0.028716627	1.076695479
DUXAP4	2.423646771	-1.713347696	2.921023558	0.010036075	0.203826813	-2.55584411
AC093724.2	2.422397716	1.425210508	2.801731445	0.012842589	0.228500208	-2.85461398
MT-ATP6	2.421395454	10.15981516	3.866857867	0.001377448	0.079833068	-0.877975576
BOLA2B	2.421213454	0.531462367	3.279611052	0.004743945	0.14535837	-1.937013982
TOP2A	2.420136936	3.673458574	4.982201587	0.000137693	0.026953309	1.232034471
C19ORF33	2.416134274	4.580216441	4.361074977	0.000490355	0.04815679	0.035506513
MND1	2.412962452	1.015609685	2.855435309	0.011495717	0.216521431	-2.728363006
OR2H5P	2.410800968	-1.645404701	2.581911057	0.020122947	0.282176337	-3.128864336
SLC35A2	2.408785911	4.205939485	4.468841074	0.000392347	0.043476477	0.246872397
EEF1DP2	2.408346301	-1.713347696	2.386217811	0.029792942	0.335306188	-3.451617737
B3GNT3	2.405626915	4.422706383	5.593637709	4.11E-05	0.014642301	2.360239624
CICP22	2.404894112	-0.711590633	2.5643384	0.0208512	0.286649187	-3.155416495
RP4-730K3.3	2.401070174	-0.431526955	3.124699817	0.006564974	0.169287359	-2.203663573
RP11-290H9.2	2.398555176	-1.764156793	2.28095376	0.036664623	0.367953321	-3.622133924
ALDH3B2	2.397562697	3.262281263	3.904175102	0.001273534	0.078035444	-0.843485737
KRT18	2.397026004	6.260448427	4.022076722	0.000994378	0.067505474	-0.622148138
RP5-1059H15.1	2.39296134	-0.031747845	2.519666684	0.022817365	0.29701883	-3.251864955
OR2W6P	2.392633663	-1.655477343	2.55530683	0.021235208	0.289360502	-3.173222516
MAGEA2B	2.392614519	1.191254915	2.459234702	0.02575916	0.315334719	-3.443627209
AP002414.1	2.389685695	-0.730095852	2.419599296	0.027879954	0.327711616	-3.391888586
TBC1D3P3	2.389428941	-1.73382382	2.39103695	0.029509332	0.334139665	-3.444491125
KLHDC7A	2.388749605	4.255862272	2.905430476	0.010365817	0.206601058	-2.816685566
HIST1H2BO	2.387265959	6.064125919	3.772294684	0.001680678	0.087609095	-1.116353398
KRT8P8	2.386518103	-0.953519814	2.898375451	0.010518452	0.207127985	-2.591951147
KLF5	2.385893035	6.433565811	4.636675821	0.000277802	0.035809153	0.575342805
DDX11L2	2.385123989	0.04388018	3.224812518	0.005322519	0.151150504	-2.029031808
C17ORF96	2.384329124	3.884230695	5.01305174	0.000129411	0.025941024	1.289477965
HIST1H4L	2.382275465	5.730466247	3.307392754	0.004474857	0.141548476	-2.035424377
FZD9	2.382000444	0.489136389	2.281679879	0.036612516	0.367645635	-3.681582692
CAMSAP3	2.381984964	4.520327099	4.837708279	0.00018438	0.030360666	0.955934756
HIST1H4A	2.379412661	6.848944094	4.367695904	0.00048367	0.047875176	0.058664195
LRRC8E	2.3793033	3.896934224	5.016247641	0.000128583	0.025941024	1.295455102
MAGEA12	2.367460175	0.682824464	1.81642696	0.088182996	0.526587428	-4.423044213
FAM64A	2.362868265	1.916661308	3.666843999	0.002098707	0.098343383	-1.255754935
WWC1	2.360210761	4.984715558	4.285000511	0.00057427	0.051360704	-0.113371407
MTCYBP18	2.35876082	-0.7376105	2.649196678	0.017553001	0.26410446	-3.014018309
RP11-71C5.2	2.357038471	-1.713347696	3.031092294	0.007982697	0.183765101	-2.365973134
KRT8	2.356545141	8.422477084	4.606827598	0.000295336	0.037082504	0.52734512
IGHV6-1	2.35645236	-0.959847789	2.704754892	0.01567125	0.250040223	-2.918825966
WFDC9	2.35580396	-1.760149214	2.355838306	0.031640685	0.345508045	-3.502216237
TFPT	2.355016004	3.148385895	5.172698729	9.40E-05	0.021945832	1.586942264
RP11-364B14.3	2.354281503	-1.21768023	2.991474536	0.008669455	0.190457764	-2.433040938
FEM1AP2	2.352613885	-0.409095948	2.224288706	0.04095083	0.388659055	-3.713897052
MMP15	2.352332446	5.360893805	5.138285818	0.000100715	0.022750003	1.523572652
LGR5	2.352010614	0.010040139	2.322048298	0.033822034	0.353761011	-3.580386701
TMEM125	2.348675542	2.899970894	3.689202146	0.002002127	0.095828465	-1.252933193
ZACN	2.34787232	4.66148603	3.391862456	0.003746233	0.13122242	-1.874978198
CDCA5	2.346899985	2.893983663	4.953308799	0.000145944	0.027292016	1.179032727
UBE2C	2.346804995	2.047536608	4.015945315	0.00100724	0.067994508	-0.590701478
IGFL1P1	2.344618801	-0.678903438	1.970581562	0.066418838	0.474836076	-4.089148063
CRCT1	2.342735741	0.151372956	2.333239564	0.033084422	0.350912004	-3.571494579
MCRIP2P1	2.341977946	-0.874007237	1.896296703	0.076220755	0.502661456	-4.190650914
LCN2	2.339721317	3.28794905	2.964365227	0.009172341	0.195496311	-2.67704571
CALR	2.338012743	8.104321551	4.051599081	0.000934737	0.065462403	-0.543739711
RANBP1	2.335291028	3.798512018	3.63373407	0.002250377	0.100849834	-1.388741549
CLIC3	2.328805667	2.864113232	4.007806784	0.001024573	0.068402869	-0.629407251
HUS1B	2.323941735	-0.756115719	2.466794037	0.025372412	0.313369805	-3.314707829
AMIGO2	2.32282101	4.473005691	4.020303844	0.00099808	0.067505474	-0.633233494
RP11-941H19.1	2.320151641	-1.752329039	2.965528204	0.009150194	0.195496311	-2.479526763
RP3-437C15.1	2.320151641	-1.752329039	2.965528204	0.009150194	0.195496311	-2.479526763
SIAH1P1	2.319575379	-1.73382382	2.948327063	0.009483152	0.197718095	-2.50903661
C4ORF51	2.319170983	0.201996932	3.073122896	0.007312383	0.17724013	-2.30128652
RPS12P15	2.314952182	-1.73382382	2.959818731	0.009259425	0.195496311	-2.48922733
RP11-807E13.2	2.314952182	-1.73382382	2.959818731	0.009259425	0.195496311	-2.48922733
CTB-60B18.10	2.314291182	0.977072341	3.648698702	0.002180512	0.100309254	-1.265053986
AC008074.1	2.311941505	-1.764156793	2.339638935	0.032669444	0.349387239	-3.528406552
KRTAP3-4P	2.310934317	-1.73382382	2.766619414	0.013804526	0.235566042	-2.820080402
SAPCD2	2.310319814	4.30777234	3.860708442	0.001395374	0.080109642	-0.947311684
CTD-2545M3.6	2.309256147	-1.239911466	2.732971683	0.014791458	0.243107	-2.871539993
ATP6V0E2	2.3085381	3.675653627	4.717599562	0.000235429	0.033788351	0.730078093
VAMP8	2.308450978	4.104993343	4.832738634	0.000186248	0.030525685	0.947509982
RP11-421K23.1	2.306509589	-0.763935893	2.477700706	0.024824092	0.309536921	-3.296770576
SEMA7A	2.304908733	4.732875592	4.311565097	0.000543423	0.049867523	-0.061488949
MRPL58	2.304651502	0.883068713	2.980787072	0.008864408	0.19373955	-2.493560259
RP11-672L10.5	2.304456338	-0.858467193	2.198925308	0.043016275	0.397995005	-3.738852716
IGKV2-40	2.304332877	-1.818317152	2.16267526	0.046135987	0.411463607	-3.810103383
RP5-1057J7.1	2.301689885	-1.23182838	2.860124806	0.01138484	0.215455964	-2.656901093
MAL2	2.295804416	3.939054192	4.971476765	0.000140698	0.027071205	1.211034607
ZSCAN12P1	2.295369609	-0.283866162	2.928606745	0.009879432	0.201464935	-2.545544879
BEX5	2.292679704	-0.994256268	2.808215122	0.012672203	0.226824029	-2.744682077
UHRF1	2.289979719	4.417895745	4.49461001	0.000372029	0.042411935	0.295938535
RARRES1	2.288890226	3.179657301	4.591140863	0.000305001	0.037710995	0.492749037
KRTAP2-1	2.28660276	-0.1116546	2.134378821	0.048714823	0.421956304	-3.870801513
DCXR	2.283068071	3.709602395	4.07666207	0.000886953	0.06326814	-0.514494762
SYNE4	2.28218866	3.285194981	4.485558875	0.000379041	0.042621668	0.28856497
FAM155B	2.282151411	2.016736201	3.607504311	0.002378288	0.103592223	-1.373730269
SLC35G3	2.28073787	-1.034424285	2.543313199	0.021755591	0.292492751	-3.186005576
RPSAP1	2.279766234	-1.265931333	2.515836453	0.022993924	0.297767737	-3.231855519
IRAK1	2.277627011	6.053557154	4.7862935	0.000204678	0.03229025	0.860109236
LRRC26	2.277287176	-0.572859773	2.36573508	0.03102723	0.341028548	-3.482808737
SNTG1	2.276876325	3.00980574	2.918827707	0.010081884	0.204132767	-2.749960183
CLUHP5	2.275991786	-0.230352879	2.318285175	0.034073501	0.355368739	-3.572807074
EIF4EBP1	2.274447234	2.689690091	2.710197161	0.015497728	0.248562679	-3.120957967
AC234582.1	2.273652166	4.359329856	3.47074027	0.00317281	0.120348201	-1.718011513
