term_name	zscore	combined_score	FDR	pvalue	overlapping_genes	gene_set_library	geneset
mmu-miR-3065-5p	-2.027283436	11.31018022	0.999999924	0.003776403	"['RANBP3L', 'DTNA', 'ID1', 'ZNF208', 'SLIT3', 'NCAM1', 'DMD', 'SLC8A1', 'STXBP5L']"	miRTarBase (experimentally validated targets)	downregulated
hsa-miR-193b-3p	-6.330577083	33.39395028	0.999999037	0.00511783	"['HIST2H2AA3', 'TOP2A', 'FEN1', 'CDCA5', 'PKMYT1', 'LMNB2', 'CDC20', 'IRAK1', 'CFL1', 'E2F1', 'MYH14', 'OIP5', 'TK1', 'EMC6', 'KPNA2', 'HIST1H3B', 'SEPHS2', 'HIST1H1B', 'SPTBN2', 'UBE2C', 'HIST1H2AJ', 'MND1', 'CDC6', 'YDJC', 'CDC25A', 'ZWINT', 'VAMP8', 'CCNA2', 'HIST2H3A', 'FASN', 'CDK1', 'SLC25A10', 'ATP13A2', 'APOBEC3B']"	miRTarBase (experimentally validated targets)	upregulated
mmu-miR-363-3p	-2.682570022	13.88614912	0.999999924	0.005648107	"['BTG2', 'HAND2', 'CD69']"	miRTarBase (experimentally validated targets)	downregulated
mmu-miR-17-5p	-3.376749287	17.11579568	0.999999924	0.006290469	"['BTG2', 'EPHA7', 'SCARA5', 'CACNA2D1', 'PRUNE2', 'SOBP', 'REEP1', 'EPB41L5', 'SMOC2', 'SHH', 'LMBRD1', 'NBEA', 'AKT3', 'ID1', 'GRB10', 'CNTN1', 'DMD', 'NCAM1', 'FGF10']"	miRTarBase (experimentally validated targets)	downregulated
mmu-miR-487b	-1.287460473	6.141738861	0.999999845	0.008476742	"['CYP39A1', 'IL33', 'SYNM', 'NBEA', 'SYNPO2', 'RCAN2', 'TMEM56', 'SOBP', 'ANO5', 'PRKG1', 'STXBP5L']"	TargetScan (experimentally validated targets)	downregulated
hsa-miR-5693	-3.285762354	15.46238608	0.999999037	0.009042001	"['HIST2H2AA3', 'HIST1H2BO', 'HIST1H2AI', 'HIST1H2AH', 'WWC1', 'HIST1H2AJ', 'CDC25A', 'HIST2H3A', 'HIST1H3F', 'EIF4EBP1', 'AP1S1', 'HIST1H2BH', 'HIST1H3B', 'HIST1H2BB', 'HIST1H3C', 'HIST2H3C', 'HIST1H1B']"	miRTarBase (experimentally validated targets)	upregulated
mmu-miR-206-3p	-2.226000622	10.27662572	0.999999924	0.009886036	"['EIF4E3', 'ID1', 'ADARB1', 'UTRN']"	miRTarBase (experimentally validated targets)	downregulated
hsa-miR-584-3p	-2.281889181	10.10534498	0.999999037	0.011932381	"['RANBP1', 'MSMO1', 'PRSS8', 'CDC25A', 'SPTBN2']"	miRTarBase (experimentally validated targets)	upregulated
mmu-miR-92a-3p	-2.531076101	10.66748886	0.999999924	0.014778141	"['BTG2', 'CD69', 'HIPK3']"	miRTarBase (experimentally validated targets)	downregulated
mmu-miR-31-5p	-2.342508929	9.872752501	0.999999924	0.014778141	"['KRT17', 'DMD', 'FGF10']"	miRTarBase (experimentally validated targets)	downregulated
hsa-miR-1275	-2.337047061	9.126614707	0.999999037	0.020137112	"['EFNA3', 'MEX3A', 'TMEM54', 'DCXR', 'CITED4', 'MYH14', 'AKR1B1', 'CALR', 'RAB11FIP4']"	miRTarBase (experimentally validated targets)	upregulated
hsa-miR-4665-5p	-2.346199627	9.078611138	0.999999037	0.020868875	"['EFNA3', 'MEX3A', 'TMEM54', 'DCXR', 'CITED4', 'MYH14', 'AKR1B1', 'CALR', 'RAB11FIP4']"	miRTarBase (experimentally validated targets)	upregulated
mmu-miR-467d	-1.926282721	7.244591401	0.999999845	0.023262375	"['EIF4E3', 'FAM13B', 'HSPB6', 'DGKB', 'SYNPO2', 'RNF180', 'DCUN1D4', 'EFCAB13', 'ADARB1', 'SOBP', 'ARHGAP6', 'ELAVL2', 'EPB41L5', 'METTL21C', 'OXCT1', 'SLITRK6', 'GRB10', 'NCAM1', 'BVES', 'TNS1', 'TMOD1', 'MYOCD', 'GPR34', 'SLC2A12', 'SORBS2', 'LIFR', 'HIPK3', 'STXBP5L', 'TRDN', 'PTPRD', 'LRCH2', 'SFRP2', 'ZEB1', 'MAP1B', 'SPARCL1', 'FOSB', 'CD69', 'TNIK']"	TargetScan (experimentally validated targets)	downregulated
mmu-miR-467c	-1.93298586	7.269801357	0.999999845	0.023262375	"['EIF4E3', 'FAM13B', 'HSPB6', 'DGKB', 'SYNPO2', 'RNF180', 'DCUN1D4', 'EFCAB13', 'ADARB1', 'SOBP', 'ARHGAP6', 'ELAVL2', 'EPB41L5', 'METTL21C', 'OXCT1', 'SLITRK6', 'GRB10', 'NCAM1', 'BVES', 'TNS1', 'TMOD1', 'MYOCD', 'GPR34', 'SLC2A12', 'SORBS2', 'LIFR', 'HIPK3', 'STXBP5L', 'TRDN', 'PTPRD', 'LRCH2', 'SFRP2', 'ZEB1', 'MAP1B', 'SPARCL1', 'FOSB', 'CD69', 'TNIK']"	TargetScan (experimentally validated targets)	downregulated
hsa-miR-2052	-2.194957008	7.964614833	0.999999924	0.026553408	"['ZEB1', 'FAM13B', 'RHOBTB3', 'DMD', 'SOBP', 'CORO1C']"	miRTarBase (experimentally validated targets)	downregulated
hsa-miR-653-3p	-2.064795734	7.41732665	0.999999037	0.027535448	"['F8A2', 'SOWAHB', 'F8A3', 'SLC35G3', 'MKI67']"	miRTarBase (experimentally validated targets)	upregulated
hsa-miR-5004-5p	-2.222637177	7.861567329	0.999999037	0.029099193	"['GABRQ', 'SCD', 'CITED4', 'KPNA2', 'LMNB2']"	miRTarBase (experimentally validated targets)	upregulated
hsa-miR-501-3p	-2.112754437	7.472907155	0.999999924	0.029099193	"['NLGN4X', 'CSRP1', 'SLC2A12', 'ELAVL2', 'TRDN']"	miRTarBase (experimentally validated targets)	downregulated
hsa-miR-369-5p	-1.630634452	5.742730479	0.999999037	0.029546891	"['HIST2H3D', 'ZWINT']"	miRTarBase (experimentally validated targets)	upregulated
mmu-miR-712-5p	-2.219814763	7.667583456	0.999999924	0.031614018	"['F10', 'KATNAL1', 'AMY2B', 'ATP1A2']"	miRTarBase (experimentally validated targets)	downregulated
hsa-miR-4760-3p	-2.181050179	7.480650943	0.999999924	0.032392156	"['PDE4D', 'MAP1B', 'RHOBTB3', 'LIFR', 'HIPK3']"	miRTarBase (experimentally validated targets)	downregulated
mmu-miR-1942	-1.573222147	5.279539812	0.999999924	0.034878773	"['DUSP2', 'SLC8A1']"	miRTarBase (experimentally validated targets)	downregulated
hsa-miR-127-3p	-2.212428272	7.41229488	0.999999924	0.035073887	"['SFRP1', 'NBEA', 'MAPK4']"	miRTarBase (experimentally validated targets)	downregulated
hsa-miR-502-3p	-2.060097123	6.750376684	0.999999924	0.037751601	"['NLGN4X', 'CSRP1', 'SLC2A12', 'ELAVL2', 'TRDN']"	miRTarBase (experimentally validated targets)	downregulated
mmu-miR-29b-3p	-2.239430674	7.304214452	0.999999924	0.038325531	"['DUSP2', 'TGFB3', 'AKT3', 'COL4A6']"	miRTarBase (experimentally validated targets)	downregulated
mmu-miR-92b-3p	-1.836705973	5.887025408	0.999999924	0.04055045	"['BTG2', 'CD69']"	miRTarBase (experimentally validated targets)	downregulated
mmu-miR-210-3p	-2.47299228	7.862834659	0.999999924	0.041607198	"['SHH', 'NCAM1', 'DMD']"	miRTarBase (experimentally validated targets)	downregulated
hsa-miR-200c-3p	-2.349464467	7.375951302	0.999999924	0.043307991	"['PTPRD', 'JUN', 'EDNRA', 'ZEB1', 'NLGN4X', 'DUSP1', 'LPAR1', 'FLNA', 'NCAM1', 'ELAVL2']"	miRTarBase (experimentally validated targets)	downregulated
hsa-miR-6783-5p	-2.370675082	7.438006568	0.999999037	0.043390893	"['MEX3A', 'UPK2', 'CFL1', 'FAM228A', 'HMGA1', 'AP1S1', 'CALR', 'HIST1H3B', 'PPFIA3']"	miRTarBase (experimentally validated targets)	upregulated
mmu-miR-32-5p	-1.818368789	5.577677414	0.999999924	0.046541674	"['BTG2', 'CD69']"	miRTarBase (experimentally validated targets)	downregulated
mmu-miR-137-3p	-1.74561878	5.354523516	0.999999924	0.046541674	"['PTPRD', 'CD69']"	miRTarBase (experimentally validated targets)	downregulated
mmu-miR-367-3p	-1.728904488	5.303253977	0.999999924	0.046541674	"['BTG2', 'CD69']"	miRTarBase (experimentally validated targets)	downregulated
hsa-miR-6745	-2.360589956	7.207574526	0.999999037	0.047203193	"['HIST2H2AA3', 'MEX3A', 'HIST2H3A', 'MYH14', 'MRPL12', 'HIST1H3B', 'HIST2H3C', 'FAM71F2', 'GRIN2D']"	miRTarBase (experimentally validated targets)	upregulated
hsa-miR-139-3p	-2.188054007	6.636076832	0.999999924	0.048177315	"['KANK2', 'NLGN4X', 'C14ORF180', 'HAND2', 'TBX20', 'SORBS2']"	miRTarBase (experimentally validated targets)	downregulated
hsa-miR-139-5p	-1.950263379	5.914889479	0.999999924	0.048177315	"['JUN', 'BTG2', 'ACTC1', 'PDE4D', 'GLP2R', 'FOS']"	miRTarBase (experimentally validated targets)	downregulated
hsa-miR-19b-2-5p	-2.111032207	6.322343245	0.999999924	0.050041326	"['ZEB1', 'FAM13B', 'RHOBTB3', 'DMD', 'FOS', 'CORO1C']"	miRTarBase (experimentally validated targets)	downregulated
hsa-miR-363-5p	-2.360162056	7.012977427	0.999999037	0.051231712	"['HIST2H2AA3', 'MEX3A', 'HIST2H3A', 'MYH14', 'MRPL12', 'HIST1H3B', 'HIST2H3C', 'FAM71F2', 'GRIN2D']"	miRTarBase (experimentally validated targets)	upregulated
mmu-miR-466n-5p	-2.097765468	6.204124825	0.999999924	0.051949036	"['BNC2', 'NCAM1', 'PGM5', 'DMD', 'CAP2', 'STXBP5L']"	miRTarBase (experimentally validated targets)	downregulated
mmu-miR-696	-1.562831808	4.595693574	0.999999924	0.052832993	"['TMOD1', 'NCAM1']"	miRTarBase (experimentally validated targets)	downregulated
mmu-miR-25-3p	-1.607908022	4.728245563	0.999999924	0.052832993	"['BTG2', 'CD69']"	miRTarBase (experimentally validated targets)	downregulated
mmu-miR-335-3p	-2.053149271	5.996457116	0.999999924	0.053900566	"['CSNK1G3', 'EPHA7', 'SFRP1', 'ZEB1', 'TBX20', 'CAP2']"	miRTarBase (experimentally validated targets)	downregulated
mmu-miR-380-3p	-2.340118946	6.820186309	0.999999845	0.054233234	"['BTG2', 'BNC2', 'PDE1C', 'DGKB', 'FAM114A2', 'SYNPO2', 'CEP85L', 'ADARB1', 'PTGS2', 'SPATA6', 'CHRDL1', 'COL19A1', 'SLC8A1', 'PTGS1', 'ADH6', 'RAB23', 'AKT3', 'GRB10', 'KCNN2', 'AASS', 'ANKS1B', 'PRIMA1', 'IL33', 'DTNA', 'EGF', 'TPM2', 'EYA4', 'SLC2A12', 'TPM1', 'LIFR', 'PDCD1LG2', 'OLFM4', 'TRDN', 'SMOC2', 'LRCH2', 'SFRP1', 'PLCB4', 'KATNAL1', 'MYL1', 'ADGRB3', 'OGN', 'TRAF5', 'CNTN1', 'MRVI1', 'PDE5A', 'UTRN']"	TargetScan (experimentally validated targets)	downregulated
hsa-miR-19a-5p	-2.059142975	5.939108288	0.999999924	0.055896013	"['ZEB1', 'FAM13B', 'RHOBTB3', 'DMD', 'FOS', 'CORO1C']"	miRTarBase (experimentally validated targets)	downregulated
mmu-miR-21a-5p	-2.526425778	7.266217607	0.999999924	0.056354909	"['EIF4E3', 'SORBS2', 'TNS1']"	miRTarBase (experimentally validated targets)	downregulated
hsa-miR-4436b-3p	-2.20536548	6.331375573	0.999999037	0.056648131	"['BCL2L12', 'MEX3A', 'ZNF185', 'RAB25', 'UPK2', 'PRSS8', 'LMNB2']"	miRTarBase (experimentally validated targets)	upregulated
hsa-miR-1261	-2.054874523	5.889814868	0.999999037	0.056911095	"['HIST2H3A', 'HIST1H3G', 'HIST2H3C', 'FAM71F2']"	miRTarBase (experimentally validated targets)	upregulated
mmu-miR-466j	-2.056690864	5.894588793	0.999999924	0.056923055	"['BNC2', 'NCAM1', 'PGM5', 'DMD', 'STXBP5L']"	miRTarBase (experimentally validated targets)	downregulated
mmu-miR-669m-5p	-2.049391612	5.873668736	0.999999924	0.056923055	"['BNC2', 'NCAM1', 'PGM5', 'DMD', 'STXBP5L']"	miRTarBase (experimentally validated targets)	downregulated
mmu-miR-466m-5p	-2.052253935	5.88187231	0.999999924	0.056923055	"['BNC2', 'NCAM1', 'PGM5', 'DMD', 'STXBP5L']"	miRTarBase (experimentally validated targets)	downregulated
mmu-miR-466h-5p	-2.061559797	5.908543419	0.999999924	0.056923055	"['BNC2', 'NCAM1', 'PGM5', 'DMD', 'STXBP5L']"	miRTarBase (experimentally validated targets)	downregulated
mmu-miR-701	-1.23013374	3.515216516	0.999999845	0.057407008	"['BNC2', 'EGF', 'SYNPO2', 'LPAR1', 'ATP1A2', 'OLFM4', 'SOBP', 'HMGCLL1']"	TargetScan (experimentally validated targets)	downregulated
mmu-miR-125b-2-3p	-1.285414122	3.629192909	0.999999924	0.059405721	"['FERMT2', 'PLEKHM3']"	miRTarBase (experimentally validated targets)	downregulated
mmu-miR-1298-5p	-1.20035288	3.389033998	0.999999924	0.059405721	"['AQP3', 'FERMT2']"	miRTarBase (experimentally validated targets)	downregulated
hsa-miR-4711-5p	-1.968024063	5.540209733	0.999999924	0.059897962	"['BTG2', 'RAB23', 'MAP1B', 'PLA2G4A']"	miRTarBase (experimentally validated targets)	downregulated
hsa-miR-3192-3p	-2.16158499	5.977109736	0.999999924	0.062966566	"['REEP1', 'BTG2', 'STAC', 'MYL9']"	miRTarBase (experimentally validated targets)	downregulated
hsa-miR-19b-1-5p	-2.074617916	5.692569894	0.999999924	0.064318213	"['ZEB1', 'FAM13B', 'RHOBTB3', 'DMD', 'FOS', 'CORO1C']"	miRTarBase (experimentally validated targets)	downregulated
hsa-miR-511-3p	-2.800570617	7.677135104	0.999999924	0.064488052	"['RGS5', 'KATNAL1', 'ADH1B', 'TRAF5', 'TACR3', 'DMD', 'LIFR', 'BVES', 'SPATA6', 'LYPLAL1', 'PLEKHM3']"	miRTarBase (experimentally validated targets)	downregulated
mmu-miR-3074-1-3p	-2.714782349	7.400303591	0.999999845	0.065485347	"['PID1', 'IL26', 'LMOD1', 'ARHGAP6', 'RGS5', 'AKT3', 'ME1', 'ANKS1B', 'TNS1', 'DYNC2H1', 'DUSP2', 'EPHA7', 'GPR34', 'SCARA5', 'C5ORF58', 'PDE4D', 'TPM1', 'LIFR', 'OLFM4', 'ANO5', 'PLCB4', 'KATNAL1', 'MAP1B', 'SPARCL1', 'MICU3', 'ANGPTL1', 'FGL2', 'CEP85L', 'LPAR1', 'RHOBTB3', 'COL19A1', 'PTGS1', 'EPB41L5', 'PDLIM3', 'OXCT1', 'KCNN2', 'DMD', 'NCAM1', 'HMGCLL1', 'SEPT10', 'DTNA', 'EGF', 'SORBS1', 'STXBP5L', 'ACTC1', 'TMEM56', 'APLF', 'CACHD1', 'TEK', 'PDE7B', 'ITM2A']"	TargetScan (experimentally validated targets)	downregulated
hsa-miR-146a-5p	-2.295394166	6.230064563	0.999999037	0.06626066	"['CCNA2', 'GPRIN2', 'IRAK1', 'UHRF1', 'SPP1', 'MT-CO2', 'ISG15', 'LAMC2', 'MIF']"	miRTarBase (experimentally validated targets)	upregulated
mmu-miR-141-3p	-2.018392123	5.27638263	0.999999924	0.073229904	"['ZEB1', 'TMEM56', 'HIPK3']"	miRTarBase (experimentally validated targets)	downregulated
hsa-miR-4449	-2.379785941	6.218052936	0.999999037	0.073324368	"['F8A2', 'F8A3']"	miRTarBase (experimentally validated targets)	upregulated
hsa-miR-8078	-1.650502378	4.312535418	0.999999037	0.073324368	"['SCD', 'PKMYT1']"	miRTarBase (experimentally validated targets)	upregulated
hsa-miR-6854-3p	-1.297082349	3.389097552	0.999999924	0.073324368	"['ADAMTS1', 'FOS']"	miRTarBase (experimentally validated targets)	downregulated
hsa-miR-574-3p	-1.25742729	3.236434202	0.999999845	0.076241149	"['FAM13B', 'BNC2', 'HPSE2', 'SYNPO2', 'FHL1', 'USP45', 'ZEB1', 'MAP1B', 'DPYSL3', 'PMP22', 'SLAMF7', 'SPEG', 'NCAM1', 'PDE7B', 'ANKS1B', 'TNS1']"	TargetScan (experimentally validated targets)	downregulated
hsa-miR-7113-5p	-2.436685597	6.268934232	0.999999037	0.076326885	"['LRRC59', 'SCD', 'HIST1H2AH', 'GIPC1', 'E2F1', 'KIF2C', 'CDR2L']"	miRTarBase (experimentally validated targets)	upregulated
mmu-miR-1897-5p	-1.929754798	4.928789717	0.999999924	0.077762066	"['ITIH5', 'BTG2', 'CD69']"	miRTarBase (experimentally validated targets)	downregulated
hsa-miR-4315	-1.62316826	4.086818638	0.999999924	0.080636535	"['BNC2', 'CSRP1']"	miRTarBase (experimentally validated targets)	downregulated
hsa-miR-147a	-2.183669763	5.49665195	0.999999924	0.080688224	"['RGS5', 'SHH', 'ZEB1', 'IL1RAPL1', 'SLC2A12', 'DMD', 'MS4A1']"	miRTarBase (experimentally validated targets)	downregulated
hsa-miR-3655	-2.427912217	6.072005477	0.999999845	0.082009811	"['BTG2', 'PID1', 'BNC2', 'IL26', 'DGKB', 'SYNPO2', 'CEP85L', 'DCUN1D4', 'RHOBTB3', 'LMOD1', 'ATP1A2', 'SOBP', 'ARHGAP6', 'CARF', 'CHRDL1', 'COL19A1', 'ELAVL2', 'PTGS1', 'RGS5', 'JPH2', 'EDNRA', 'RSPO3', 'SPEG', 'PGM5', 'HMGCLL1', 'PRKG1', 'TNS1', 'HFM1', 'DTNA', 'PTGIS', 'FOXF1', 'STAC', 'PDE4D', 'EYA4', 'SLC2A12', 'THEMIS', 'STON1-GTF2A1L', 'TMEFF2', 'PLCB4', 'SPARCL1', 'MRVI1', 'PDE7B', 'LYPLAL1', 'PLEKHM3', 'MATN2']"	TargetScan (experimentally validated targets)	downregulated
mmu-miR-127	-1.202047768	2.99902381	0.999999845	0.082502311	"['EPB41L5', 'ZFP36', 'RGS2', 'PLCB4', 'STAC', 'C14ORF180', 'DCUN1D4', 'AOX1', 'CARF', 'PLEKHM3', 'MAPK4']"	TargetScan (experimentally validated targets)	downregulated
hsa-miR-6124	-2.543291987	6.266439423	0.999999037	0.085101657	"['BCL2L12', 'FEN1', 'SLC6A8', 'CFL1', 'AP1S1', 'CALR', 'RAB11FIP4', 'GRIN2D']"	miRTarBase (experimentally validated targets)	upregulated
mmu-miR-1193-5p	-2.270246397	5.584282728	0.999999845	0.08545465	"['KANK2', 'ITIH5', 'BTG2', 'SEMA3A', 'DCUN1D4', 'HSPB2', 'ARHGAP6', 'SPATA6', 'ADCY5', 'AQP1', 'EPB41L5', 'JPH2', 'PDLIM3', 'OXCT1', 'AKT3', 'NCAM1', 'DUOX2', 'MYOCD', 'EPHA6', 'DTNA', 'CACNA2D1', 'TPM2', 'PDE4D', 'KLHDC1', 'THEMIS', 'LCA5', 'TRDN', 'PTPRD', 'SMOC2', 'SFRP1', 'PLCB4', 'MMRN1', 'MAP1B', 'RCAN2', 'P2RX1', 'IFNE', 'TEK', 'PDE7B', 'ATF3', 'FERMT2', 'PLEKHM3', 'ADGRL3']"	TargetScan (experimentally validated targets)	downregulated
mmu-miR-379	-2.264151341	5.569290296	0.999999845	0.08545465	"['KANK2', 'ITIH5', 'BTG2', 'SEMA3A', 'DCUN1D4', 'HSPB2', 'ARHGAP6', 'SPATA6', 'ADCY5', 'AQP1', 'EPB41L5', 'JPH2', 'PDLIM3', 'OXCT1', 'AKT3', 'NCAM1', 'DUOX2', 'MYOCD', 'EPHA6', 'DTNA', 'CACNA2D1', 'TPM2', 'PDE4D', 'KLHDC1', 'THEMIS', 'LCA5', 'TRDN', 'PTPRD', 'SMOC2', 'SFRP1', 'PLCB4', 'MMRN1', 'MAP1B', 'RCAN2', 'P2RX1', 'IFNE', 'TEK', 'PDE7B', 'ATF3', 'FERMT2', 'PLEKHM3', 'ADGRL3']"	TargetScan (experimentally validated targets)	downregulated
hsa-miR-3689f	-3.123730038	7.666076243	0.999999845	0.085936921	"['SH3GL3', 'EIF4E3', 'SLC46A2', 'BNC2', 'FHL5', 'KIAA1107', 'EDNRA', 'CSRP1', 'C1QTNF7', 'AKT3', 'ZNF208', 'AOX1', 'PGM5', 'AASS', 'MYOCD', 'EPHA7', 'PDE4D', 'SLC2A12', 'LIFR', 'ANO5', 'TMEM252', 'CYP39A1', 'TMEFF2', 'SFRP2', 'PLCB4', 'CASQ2', 'ROR1', 'ITIH5', 'PARM1', 'FAM114A2', 'SYNPO2', 'RNF180', 'FGL2', 'PRUNE2', 'CEP85L', 'LPAR1', 'FAM129A', 'RHOBTB3', 'PTGS2', 'SPATA6', 'COL19A1', 'ORC3', 'MYH11', 'SEPT10', 'NLGN4X', 'DTNA', 'STAC', 'EYA4', 'KLHDC1', 'ACTC1', 'TMEM56', 'CACHD1', 'PDE7B', 'ITM2A', 'PLEKHM3', 'ADGRL3']"	TargetScan (experimentally validated targets)	downregulated
hsa-miR-3689e	-3.130331501	7.682277168	0.999999845	0.085936921	"['SH3GL3', 'EIF4E3', 'SLC46A2', 'BNC2', 'FHL5', 'KIAA1107', 'EDNRA', 'CSRP1', 'C1QTNF7', 'AKT3', 'ZNF208', 'AOX1', 'PGM5', 'AASS', 'MYOCD', 'EPHA7', 'PDE4D', 'SLC2A12', 'LIFR', 'ANO5', 'TMEM252', 'CYP39A1', 'TMEFF2', 'SFRP2', 'PLCB4', 'CASQ2', 'ROR1', 'ITIH5', 'PARM1', 'FAM114A2', 'SYNPO2', 'RNF180', 'FGL2', 'PRUNE2', 'CEP85L', 'LPAR1', 'FAM129A', 'RHOBTB3', 'PTGS2', 'SPATA6', 'COL19A1', 'ORC3', 'MYH11', 'SEPT10', 'NLGN4X', 'DTNA', 'STAC', 'EYA4', 'KLHDC1', 'ACTC1', 'TMEM56', 'CACHD1', 'PDE7B', 'ITM2A', 'PLEKHM3', 'ADGRL3']"	TargetScan (experimentally validated targets)	downregulated
hsa-miR-3689b	-3.138392011	7.702058803	0.999999845	0.085936921	"['SH3GL3', 'EIF4E3', 'SLC46A2', 'BNC2', 'FHL5', 'KIAA1107', 'EDNRA', 'CSRP1', 'C1QTNF7', 'AKT3', 'ZNF208', 'AOX1', 'PGM5', 'AASS', 'MYOCD', 'EPHA7', 'PDE4D', 'SLC2A12', 'LIFR', 'ANO5', 'TMEM252', 'CYP39A1', 'TMEFF2', 'SFRP2', 'PLCB4', 'CASQ2', 'ROR1', 'ITIH5', 'PARM1', 'FAM114A2', 'SYNPO2', 'RNF180', 'FGL2', 'PRUNE2', 'CEP85L', 'LPAR1', 'FAM129A', 'RHOBTB3', 'PTGS2', 'SPATA6', 'COL19A1', 'ORC3', 'MYH11', 'SEPT10', 'NLGN4X', 'DTNA', 'STAC', 'EYA4', 'KLHDC1', 'ACTC1', 'TMEM56', 'CACHD1', 'PDE7B', 'ITM2A', 'PLEKHM3', 'ADGRL3']"	TargetScan (experimentally validated targets)	downregulated
