term_name	zscore	combined_score	FDR	pvalue	overlapping_genes	gene_set_library	geneset
Senescence-Associated Secretory Phenotype (SASP)_Homo sapiens_R-HSA-2559582	-1.949993977	28.54395515	3.10E-05	4.39E-07	"['HIST2H2AA3', 'CCNA2', 'HIST1H2BM', 'HIST1H4A', 'HIST2H3A', 'HIST1H2BO', 'UBE2C', 'CDKN2A', 'HIST1H2AJ', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
PRC2 methylates histones and DNA_Homo sapiens_R-HSA-212300	-1.992489811	28.96058001	3.10E-05	4.87E-07	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST2H3A', 'HIST1H2BO', 'HIST1H2AJ', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
Deposition of new CENPA-containing nucleosomes at the centromere_Homo sapiens_R-HSA-606279	-2.060125407	29.7401381	3.10E-05	5.38E-07	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST1H2BO', 'HIST1H2AJ', 'HIST1H2BH', 'STRA13', 'OIP5', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
Nucleosome assembly_Homo sapiens_R-HSA-774815	-2.053698393	29.64735721	3.10E-05	5.38E-07	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST1H2BO', 'HIST1H2AJ', 'HIST1H2BH', 'STRA13', 'OIP5', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
Packaging Of Telomere Ends_Homo sapiens_R-HSA-171306	-1.889896335	26.82201609	3.63E-05	6.86E-07	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST1H2BO', 'HIST1H2AJ', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
Meiotic recombination_Homo sapiens_R-HSA-912446	-2.046603552	28.78949123	3.80E-05	7.78E-07	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST2H3A', 'HIST1H2BO', 'HIST1H2AJ', 'MND1', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression_Homo sapiens_R-HSA-427389	-1.688299753	23.42965862	4.26E-05	9.40E-07	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST2H3A', 'HIST1H2BO', 'HIST1H2AJ', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
Smooth Muscle Contraction_Homo sapiens_R-HSA-445355	-1.938654121	26.50331037	0.000613566	1.16E-06	"['ACTA2', 'TPM2', 'TPM1', 'LMOD1', 'MYH11', 'SORBS1', 'MYL9', 'ACTG2']"	Reactome Pathways	downregulated
G0 and Early G1_Homo sapiens_R-HSA-1538133	-1.800932467	23.72162695	8.06E-05	1.90E-06	"['CCNA2', 'TOP2A', 'CCNE1', 'CDK1', 'E2F1', 'CDC6', 'CDC25A']"	Reactome Pathways	upregulated
RHO GTPases activate PKNs_Homo sapiens_R-HSA-5625740	-1.820223412	23.76045923	8.50E-05	2.14E-06	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST2H3A', 'HIST1H2BO', 'HIST1H2AJ', 'MYH14', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
Cellular Senescence_Homo sapiens_R-HSA-2559583	-2.117018404	26.95185829	0.000110485	2.96E-06	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H2BO', 'UBE2C', 'CDKN2A', 'HIST1H2AJ', 'HMGA1', 'CCNA2', 'HIST1H4A', 'HIST2H3A', 'CCNE1', 'E2F1', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H1B', 'HIST1H2AB']"	Reactome Pathways	upregulated
Histone Modifications_Homo sapiens_WP2369	-2.024066563	24.60983656	0.001048607	5.24E-06	"['HIST1H4A', 'HIST2H3A', 'HIST1H4L', 'HIST1H3F', 'HIST1H3G', 'HIST1H3I', 'HIST2H3D', 'HIST1H3B', 'HIST2H3C', 'HIST1H3C']"	WikiPathways	upregulated
Striated Muscle Contraction_Mus musculus_WP216	-2.057674246	24.52289549	0.000747128	6.67E-06	"['TMOD1', 'ACTA2', 'DES', 'ACTC1', 'MYL1', 'CASQ2', 'DMD', 'MYL9']"	WikiPathways	downregulated
Muscle contraction_Homo sapiens_R-HSA-397014	-2.091902273	24.2458349	0.002457247	9.26E-06	"['TMOD1', 'CACNA2D1', 'TPM2', 'TPM1', 'LMOD1', 'ATP1A2', 'SORBS1', 'SLC8A1', 'ACTG2', 'TRDN', 'ACTA2', 'DES', 'MYL1', 'FXYD6', 'DMD', 'MYH11', 'MYL9']"	Reactome Pathways	downregulated
Chromosome Maintenance_Homo sapiens_R-HSA-73886	-1.924979991	22.23416929	0.000339823	9.63E-06	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'FEN1', 'HIST1H2BO', 'HIST1H2AJ', 'HIST1H2BH', 'STRA13', 'OIP5', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
RNA Polymerase I Chain Elongation_Homo sapiens_R-HSA-73777	-1.86731159	21.32165507	0.000367354	1.10E-05	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST2H3A', 'HIST1H2BO', 'HIST1H2AJ', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
B-WICH complex positively regulates rRNA expression_Homo sapiens_R-HSA-5250924	-1.802117274	20.31324926	0.000384804	1.27E-05	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST2H3A', 'HIST1H2BO', 'HIST1H2AJ', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
Formation of the beta-catenin:TCF transactivating complex_Homo sapiens_R-HSA-201722	-1.532436191	17.27343651	0.000384804	1.27E-05	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST2H3A', 'HIST1H2BO', 'HIST1H2AJ', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
Telomere Maintenance_Homo sapiens_R-HSA-157579	-1.895887064	21.09836495	0.000423944	1.47E-05	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'FEN1', 'HIST1H2BO', 'HIST1H2AJ', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
Dilated cardiomyopathy_Homo sapiens_hsa05414	-1.896737092	21.07106095	0.003039981	1.50E-05	"['DES', 'ACTC1', 'TGFB3', 'TPM2', 'CACNA2D1', 'TPM1', 'ITGA8', 'ITGA7', 'DMD', 'SLC8A1', 'ADCY5']"	KEGG Pathways	downregulated
Oxidative Stress Induced Senescence_Homo sapiens_R-HSA-2559580	-1.913080418	21.04906869	0.000459864	1.67E-05	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST2H3A', 'HIST1H2BO', 'CDKN2A', 'HIST1H2AJ', 'E2F1', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
Myometrial Relaxation and Contraction Pathways_Homo sapiens_WP289	-2.039429739	20.72224392	0.002886331	3.87E-05	"['JUN', 'PDE4D', 'LPAR1', 'FOS', 'SLC8A1', 'ADCY5', 'ACTA2', 'RGS5', 'CNN1', 'RGS2', 'ACTC1', 'RGS1', 'IGFBP6', 'ATF3']"	WikiPathways	downregulated
Hypertrophic cardiomyopathy (HCM)_Homo sapiens_hsa05410	-1.817709938	18.34570415	0.004199886	4.14E-05	"['DES', 'ACTC1', 'TGFB3', 'TPM2', 'CACNA2D1', 'TPM1', 'ITGA8', 'ITGA7', 'DMD', 'SLC8A1']"	KEGG Pathways	downregulated
"Cell Cycle, Mitotic_Homo sapiens_R-HSA-69278"	-2.268712594	22.77267462	0.001153074	4.37E-05	"['HIST2H2AA3', 'TOP2A', 'HIST1H2BM', 'FEN1', 'HIST1H2BO', 'CDCA5', 'PKMYT1', 'CDC20', 'PSMD2', 'E2F1', 'HIST1H2AB', 'CDKN2A', 'UBE2C', 'HIST1H2AJ', 'CDC6', 'CDC25A', 'ZWINT', 'CCNA2', 'HIST1H4A', 'HIST2H3A', 'CCNE1', 'CDK1', 'BIRC5', 'KIF2C', 'HIST1H2BH', 'HIST1H2BB', 'MCM2']"	Reactome Pathways	upregulated
G1/S-Specific Transcription_Homo sapiens_R-HSA-69205	-1.524601072	15.2200189	0.001153074	4.62E-05	"['CCNE1', 'E2F1', 'CDK1', 'CDC6', 'CDC25A']"	Reactome Pathways	upregulated
Amyloid fiber formation_Homo sapiens_R-HSA-977225	-1.668004691	16.61474808	0.001153074	4.72E-05	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST2H3A', 'HIST1H2BO', 'HIST1H2AJ', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
Meiosis_Homo sapiens_R-HSA-1500620	-1.78372294	17.63271621	0.001197455	5.09E-05	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST2H3A', 'HIST1H2BO', 'HIST1H2AJ', 'MND1', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
Cell Cycle Checkpoints_Homo sapiens_R-HSA-69620	-2.129739158	20.8633844	0.001262331	5.57E-05	"['HIST1H2BM', 'HIST1H2BO', 'UBE2C', 'CDC6', 'PKMYT1', 'CDC25A', 'CDC20', 'CCNA2', 'HIST1H4A', 'CCNE1', 'PSMD2', 'CDK1', 'HIST1H2BH', 'HIST1H2BB', 'MCM2']"	Reactome Pathways	upregulated
Transcriptional regulation by small RNAs_Homo sapiens_R-HSA-5578749	-1.779514618	16.91012042	0.001602776	7.47E-05	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST2H3A', 'HIST1H2BO', 'HIST1H2AJ', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
HATs acetylate histones_Homo sapiens_R-HSA-3214847	-1.835328225	17.40273415	0.001602776	7.62E-05	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST3H2A', 'HIST2H3A', 'HIST1H2BO', 'HIST1H2AH', 'HIST1H2AJ', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
Meiotic synapsis_Homo sapiens_R-HSA-1221632	-1.685515506	15.87347923	0.001602776	8.13E-05	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST1H2BO', 'HIST1H2AJ', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
NoRC negatively regulates rRNA expression_Homo sapiens_R-HSA-427413	-1.653882931	15.53514691	0.001602776	8.33E-05	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST2H3A', 'HIST1H2BO', 'HIST1H2AJ', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
Positive epigenetic regulation of rRNA expression_Homo sapiens_R-HSA-5250913	-1.590365998	14.93852373	0.001602776	8.33E-05	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST2H3A', 'HIST1H2BO', 'HIST1H2AJ', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
Cell Cycle_Homo sapiens_R-HSA-1640170	-2.163753922	19.93874234	0.00185918	9.95E-05	"['HIST2H2AA3', 'TOP2A', 'HIST1H2BM', 'FEN1', 'HIST1H2BO', 'CDCA5', 'PKMYT1', 'CDC20', 'PSMD2', 'E2F1', 'STRA13', 'OIP5', 'HIST1H2AB', 'CDKN2A', 'UBE2C', 'HIST1H2AJ', 'MND1', 'CDC6', 'CDC25A', 'ZWINT', 'CCNA2', 'HIST1H4A', 'HIST2H3A', 'CCNE1', 'CDK1', 'BIRC5', 'KIF2C', 'HIST1H2BH', 'HIST1H2BB', 'MCM2']"	Reactome Pathways	upregulated
Myometrial Relaxation and Contraction Pathways_Mus musculus_WP385	-1.991600922	18.13617649	0.006213823	0.000110961	"['JUN', 'LPAR1', 'FOS', 'SLC8A1', 'ADCY5', 'ACTA2', 'RGS5', 'CNN1', 'RGS2', 'ACTC1', 'RGS1', 'IGFBP6', 'ATF3']"	WikiPathways	downregulated
Negative epigenetic regulation of rRNA expression_Homo sapiens_R-HSA-5250941	-1.630839747	14.80102975	0.002001469	0.000114411	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST2H3A', 'HIST1H2BO', 'HIST1H2AJ', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
RNA Polymerase I Promoter Clearance_Homo sapiens_R-HSA-73854	-1.680810466	15.25454954	0.002001469	0.000114411	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST2H3A', 'HIST1H2BO', 'HIST1H2AJ', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
RMTs methylate histone arginines_Homo sapiens_R-HSA-3214858	-1.612541641	14.6041136	0.002001469	0.000116621	"['HIST2H2AA3', 'HIST1H4A', 'HIST2H3A', 'HIST3H2A', 'HIST1H2AH', 'HIST1H2AJ', 'HIST1H2AB']"	Reactome Pathways	upregulated
RNA Polymerase I Transcription_Homo sapiens_R-HSA-73864	-1.681760352	14.75565631	0.002585345	0.000154714	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST2H3A', 'HIST1H2BO', 'HIST1H2AJ', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
Striated Muscle Contraction_Homo sapiens_R-HSA-390522	-2.133519109	18.44786433	0.031100428	0.000175709	"['TMOD1', 'DES', 'MYL1', 'TPM2', 'TPM1', 'DMD']"	Reactome Pathways	downregulated
Malaria_Homo sapiens_hsa05144	-1.869899779	15.90263596	0.010835252	0.000202547	"['TGFB3', 'HBB', 'CCL2', 'HBA2', 'HBA1', 'ACKR1', 'SELE']"	KEGG Pathways	downregulated
Vascular smooth muscle contraction_Homo sapiens_hsa04270	-1.789354415	15.12337653	0.010835252	0.000213503	"['ACTA2', 'PPP1R14A', 'EDNRA', 'PLCB4', 'PLA2G4A', 'MYH11', 'MRVI1', 'MYL9', 'ACTG2', 'PRKG1', 'ADCY5']"	KEGG Pathways	downregulated
Cell Cycle_Homo sapiens_WP179	-1.867939279	15.43837443	0.025738873	0.000257389	"['CDC20', 'CCNA2', 'CDKN2A', 'CCNE1', 'E2F1', 'CDK1', 'CDC6', 'PKMYT1', 'CDC25A', 'MCM2']"	WikiPathways	upregulated
Synthesis of Prostaglandins (PG) and Thromboxanes (TX)_Homo sapiens_R-HSA-2162123	-1.932897205	15.57564545	0.042015425	0.0003165	"['HPGDS', 'PTGIS', 'PTGS2', 'PTGS1']"	Reactome Pathways	downregulated
Mitotic Prophase_Homo sapiens_R-HSA-68875	-1.761407157	14.01224607	0.005712607	0.000350853	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST2H3A', 'HIST1H2BO', 'HIST1H2AJ', 'CDK1', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
Activation of HOX genes during differentiation_Homo sapiens_R-HSA-5619507	-1.625811634	12.78891572	0.00593956	0.000383499	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST2H3A', 'HIST1H2BO', 'HIST1H2AJ', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
Activation of anterior HOX genes in hindbrain development during early embryogenesis_Homo sapiens_R-HSA-5617472	-1.635313976	12.86366278	0.00593956	0.000383499	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST2H3A', 'HIST1H2BO', 'HIST1H2AJ', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
M Phase_Homo sapiens_R-HSA-68886	-2.082931316	16.08121165	0.006707587	0.000443651	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H2BO', 'UBE2C', 'CDCA5', 'HIST1H2AJ', 'ZWINT', 'CDC20', 'HIST1H4A', 'HIST2H3A', 'PSMD2', 'CDK1', 'BIRC5', 'KIF2C', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
Cell-extracellular matrix interactions_Homo sapiens_R-HSA-446353	-1.781930067	13.3646312	0.058732428	0.000553036	"['FLNA', 'FLNC', 'FERMT2', 'LIMS2']"	Reactome Pathways	downregulated
Epigenetic regulation of gene expression_Homo sapiens_R-HSA-212165	-1.632566143	12.04840884	0.009049308	0.000623574	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST2H3A', 'HIST1H2BO', 'UHRF1', 'HIST1H2AJ', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
Mitotic G1-G1/S phases_Homo sapiens_R-HSA-453279	-1.776960502	13.10419946	0.009049308	0.000627039	"['CCNA2', 'TOP2A', 'CDKN2A', 'CCNE1', 'PSMD2', 'E2F1', 'CDK1', 'CDC6', 'PKMYT1', 'CDC25A', 'MCM2']"	Reactome Pathways	upregulated
G1 to S cell cycle control_Mus musculus_WP413	-1.973177714	14.28070899	0.047944488	0.000719167	"['CDKN2A', 'CCNE1', 'CDK1', 'E2F1', 'PKMYT1', 'CDC25A', 'MCM2']"	WikiPathways	upregulated
Digestion of dietary carbohydrate_Homo sapiens_R-HSA-189085	-1.807570142	12.90784709	0.060076178	0.000791965	"['AMY2A', 'AMY2B', 'SI']"	Reactome Pathways	downregulated
Erythrocytes take up oxygen and release carbon dioxide_Homo sapiens_R-HSA-1247673	-1.474090991	10.52647456	0.060076178	0.000791965	"['HBB', 'HBA1', 'AQP1']"	Reactome Pathways	downregulated
Prostaglandin Synthesis and Regulation_Homo sapiens_WP98	-1.778638793	12.65377361	0.026073207	0.000813388	"['EDNRA', 'PTGIS', 'PLA2G4A', 'PTGS2', 'PTGS1']"	WikiPathways	downregulated
Prostaglandin Synthesis and Regulation_Mus musculus_WP374	-1.702971729	12.11545526	0.026073207	0.000813388	"['EDNRA', 'PTGIS', 'PLA2G4A', 'PTGS2', 'PTGS1']"	WikiPathways	downregulated
Spinal Cord Injury_Homo sapiens_WP2431	-1.823504919	12.96983001	0.026073207	0.000814788	"['EGR1', 'NR4A1', 'ZFP36', 'BTG2', 'CCL2', 'SLIT3', 'SLIT2', 'FOS', 'PTGS2', 'AQP1']"	WikiPathways	downregulated
Gene Silencing by RNA_Homo sapiens_R-HSA-211000	-1.778681984	12.34363308	0.013666586	0.000968498	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST2H3A', 'HIST1H2BO', 'HIST1H2AJ', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
Cell cycle_Homo sapiens_hsa04110	-1.682638698	11.43394595	0.07050212	0.001119081	"['CDC20', 'CCNA2', 'CDKN2A', 'CCNE1', 'E2F1', 'CDK1', 'CDC6', 'PKMYT1', 'CDC25A', 'MCM2']"	KEGG Pathways	upregulated
E2F mediated regulation of DNA replication_Homo sapiens_R-HSA-113510	-1.410322948	9.400891717	0.017583598	0.001273772	"['CCNE1', 'CDK1', 'E2F1', 'CDC6', 'CDC25A']"	Reactome Pathways	upregulated
G2/M Checkpoints_Homo sapiens_R-HSA-69481	-1.942031616	12.75530327	0.018976707	0.001404575	"['HIST1H2BM', 'HIST1H4A', 'HIST1H2BO', 'PSMD2', 'CDK1', 'HIST1H2BH', 'CDC6', 'PKMYT1', 'HIST1H2BB', 'CDC25A', 'MCM2']"	Reactome Pathways	upregulated
African trypanosomiasis_Homo sapiens_hsa05143	-1.659944149	10.61290661	0.067896942	0.001672338	"['PLCB4', 'HBB', 'HBA2', 'HBA1', 'SELE']"	KEGG Pathways	downregulated
Cyclin A/B1 associated events during G2/M transition_Homo sapiens_R-HSA-69273	-1.134315996	7.064291707	0.025966409	0.001973792	"['CCNA2', 'CDK1', 'PKMYT1', 'CDC25A']"	Reactome Pathways	upregulated
G1/S Transition_Homo sapiens_R-HSA-69206	-1.732360814	10.76273547	0.025966409	0.002003707	"['CCNA2', 'CCNE1', 'PSMD2', 'E2F1', 'CDK1', 'CDC6', 'PKMYT1', 'CDC25A', 'MCM2']"	Reactome Pathways	upregulated
Extracellular matrix organization_Homo sapiens_R-HSA-1474244	-2.05664212	12.63823232	0.139386791	0.002144002	"['TNXB', 'TGFB3', 'COL14A1', 'COL19A1', 'DCN', 'MFAP4', 'ADAMTS1', 'COL4A6', 'ITGA8', 'COL21A1', 'ITGA7', 'DMD', 'NCAM1', 'TLL1', 'A2M', 'TPSAB1']"	Reactome Pathways	downregulated
ECM proteoglycans_Homo sapiens_R-HSA-3000178	-1.797985397	10.82008457	0.139386791	0.002434793	"['TNXB', 'TGFB3', 'ITGA8', 'ITGA7', 'NCAM1', 'DCN']"	Reactome Pathways	downregulated
"RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription_Homo sapiens_R-HSA-504046"	-1.520244389	9.079645073	0.03235818	0.002547888	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST2H3A', 'HIST1H2BO', 'HIST1H2AJ', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923	-1.752650201	10.38530608	0.090352143	0.002670507	"['FABP4', 'AKT3', 'PTGS2', 'PRKG1', 'ADCY5', 'PTGS1']"	KEGG Pathways	downregulated
Erythrocytes take up carbon dioxide and release oxygen_Homo sapiens_R-HSA-1237044	-1.529788982	8.945241118	0.139386791	0.002887485	"['HBB', 'HBA1', 'AQP1']"	Reactome Pathways	downregulated
O2/CO2 exchange in erythrocytes_Homo sapiens_R-HSA-1480926	-1.506568399	8.809461795	0.139386791	0.002887485	"['HBB', 'HBA1', 'AQP1']"	Reactome Pathways	downregulated
cGMP-PKG signaling pathway_Homo sapiens_hsa04022	-1.786638809	10.22744301	0.092930981	0.003265298	"['RGS2', 'EDNRA', 'PLCB4', 'AKT3', 'ATP1A2', 'MRVI1', 'PDE5A', 'MYL9', 'PRKG1', 'SLC8A1', 'ADCY5']"	KEGG Pathways	downregulated
DNA Double Strand Break Response_Homo sapiens_R-HSA-5693606	-1.5357424	8.693096138	0.043338333	0.003480717	"['HIST1H2BM', 'HIST1H4A', 'HIST1H2BO', 'HIST1H2BH', 'KPNA2', 'HIST1H2BB']"	Reactome Pathways	upregulated
TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest_Homo sapiens_R-HSA-6804116	-0.324227388	1.81684312	0.044993982	0.003684547	"['CCNA2', 'CCNE1', 'E2F1']"	Reactome Pathways	upregulated
AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933	-1.861947182	10.36190432	0.092930981	0.003829234	"['EGR1', 'JUN', 'PLCB4', 'TGFB3', 'AKT3', 'COL4A6', 'CCL2', 'SELE']"	KEGG Pathways	downregulated
